Location,Nest,Hatching date (1=1st april),Feather treatments,Feather pigmentation  treatments,Plant treatments,Tarsus length (3 days old),Body mas (3 days old),Number of feathers (day 3),log10 mesophilic bacteria (3 days old),Enterobacteriaceaes (3 days old),Staphylococci (3 days old),log10 Enterococcus (3 days old),log Carnus (day 8),log10 mesophilic bacteria (8days old),Enterobacteriaceaes (8 days old),Staphylococci (8days old),Enterococcus (8 days old),Body mas (14 days old),Tarsus length (14 days old),Rank Telomere length (day 14),Residuals Rank Telomere length (day 14),Dif rank (14-3 days),Residuals Dif rank (14-3 days)
Calahorra,EC38,38,feathers,pigmented,no plants,15.26,20.3,20,3.1169,1,0,2.9547,1.098612289,4.033463966,0,0,3.77815125,71.6,28.9,66,-4.54168,69,55.66389
Calahorra,EC4,39,feathers,pigmented,plants,10.46,9,19,5.3416,1,0,4.2095,1.098612289,5.234519814,1,0,3.343999069,30.7,22.33,26,-42.25833,48,30.7376
Calahorra,EC4,39,feathers,pigmented,plants,10.14,6,19,5.3416,1,0,4.2095,1.098612289,5.234519814,1,0,3.343999069,77.4,27.2,42,-26.25833,71,53.7376
Calahorra,EC42,30,feathers,unpigmented,plants,13.69,18,52,3.3804,0,0,2.1614,2.397895273,3.283527365,1,0,3.334453751,72.8,28.96,150,47.36201,-32,8.91771
Calahorra,EC42,30,feathers,unpigmented,plants,13.57,22.2,52,3.3804,0,0,2.1614,2.397895273,3.283527365,1,0,3.334453751,77.4,29.26,146,43.36201,-22,18.91771
Calahorra,EC42,30,feathers,unpigmented,plants,14.99,21,52,3.3804,0,0,2.1614,2.397895273,3.283527365,1,0,3.334453751,69.6,29.12,154,51.36201,-44,-3.08229
Calahorra,EC43,34,no feathers,,no plants,10.71,7.1,20,2.8041,0,0,2.1614,1.386294361,5.464789009,0,1,4.209515015,63.1,28.77,68,-15.51662,-19,-10.28552
Calahorra,EC43,34,no feathers,,no plants,13.55,16.7,20,2.8041,0,0,2.1614,1.386294361,5.464789009,0,1,4.209515015,66,29.42,39,-44.51662,-8,0.71448
Calahorra,EC43,34,no feathers,,no plants,17,26.9,20,2.8041,0,0,2.1614,1.386294361,5.464789009,0,1,4.209515015,45.2,25.41,55,-28.51662,33,41.71448
Calahorra,EC45,50,feathers,unpigmented,no plants,14.69,19.2,8,2.9309,0,0,2.2577,0,2.87909588,1,1,1.857332496,69.8,29.05,22,-46.49542,90,71.42803
Calahorra,EC45,50,feathers,unpigmented,no plants,13.43,19,8,2.9309,0,0,2.2577,0,2.87909588,1,1,1.857332496,74.9,30.87,44,-24.49542,106,87.42803
Calahorra,EC48,48,feathers,pigmented,no plants,11.32,9.4,13,3.2526,1,0,4.4771,2.48490665,1.397940009,0,0,2.459392488,72.6,29.44,13,-51.99495,77,52.95527
Calahorra,EC48,48,feathers,pigmented,no plants,16.28,22.3,13,3.2526,1,0,4.4771,2.48490665,1.397940009,0,0,2.459392488,75,30.49,36,-28.99495,45,20.95527
Calahorra,EC48,48,feathers,pigmented,no plants,16.31,24.1,13,3.2526,1,0,4.4771,2.48490665,1.397940009,0,0,2.459392488,77.6,29.03,40,-24.99495,102,77.95527
Calahorra,EC49,37,feathers,unpigmented,no plants,15.04,19.7,24,4.2095,0,0,2.9248,3.496507561,3.209783015,1,1,3.249442961,64.8,28.88,84,10.79081,-3,-11.77527
Calahorra,EC49,37,feathers,unpigmented,no plants,13.13,13,24,4.2095,0,0,2.9248,3.496507561,3.209783015,1,1,3.249442961,56.1,29.46,70,-3.20919,-4,-12.77527
Calahorra,EC49,37,feathers,unpigmented,no plants,12.27,10.6,24,4.2095,0,0,2.9248,3.496507561,3.209783015,1,1,3.249442961,63.6,28.8,56,-17.20919,-9,-0.28552
Calahorra,EC50,34,feathers,pigmented,no plants,14.02,17.3,39,3.0795,0,0,4.2095,3.044522438,4.842615479,1,1,4.209515015,70.8,28.71,71,-12.51662,-55,-46.28552
Calahorra,EC50,34,feathers,pigmented,no plants,13.28,16.6,39,3.0795,0,0,4.2095,3.044522438,4.842615479,1,1,4.209515015,78.2,29.73,112,28.48338,-4,4.71448
Calahorra,EC51,45,feathers,unpigmented,plants,9.82,10.8,12,2.8993,0,0,1.3979,2.564949357,2.557507202,0,0,2.494154594,85,28.22,48,-14.62538,3,-24.49482
Calahorra,EC51,46,feathers,unpigmented,plants,13.15,17.5,12,2.8993,0,0,1.3979,2.564949357,2.557507202,0,0,2.494154594,90,30.04,47,-16.03109,76,49.02067
Calahorra,EC51,46,feathers,unpigmented,plants,13.85,20.9,12,2.8993,0,0,1.3979,2.564949357,2.557507202,0,0,2.494154594,78,29.16,79,15.96891,-41,-67.97933
Calahorra,EC53,34,no feathers,,plants,14.17,18.9,31,6.2095,0,0,4.2095,2.63905733,3.924330985,1,1,4.209515015,62.3,28.59,30,-53.51662,-22,-13.28552
Calahorra,EC53,34,no feathers,,plants,15.96,23.8,31,6.2095,0,0,4.2095,2.63905733,3.924330985,1,1,4.209515015,78.8,30.65,125,41.48338,-101,-92.28552
Calahorra,EC53,34,no feathers,,plants,15.01,21.4,31,6.2095,0,0,4.2095,2.63905733,3.924330985,1,1,4.209515015,68.1,27.51,119,35.48338,-70,-61.28552
Calahorra,EC56,39,feathers,unpigmented,plants,11.84,10.7,36,3.4257,1,0,4.2095,2.302585093,4.421620377,1,0,3.165541077,61.8,28.97,102,33.74167,26,8.7376
Calahorra,EC56,39,feathers,unpigmented,plants,14.52,21.7,36,3.4257,1,0,4.2095,2.302585093,4.421620377,1,0,3.165541077,81.6,31.02,65,-3.25833,53,35.7376
Calahorra,EC56,39,feathers,unpigmented,plants,12.57,13.4,36,3.4257,1,0,4.2095,2.302585093,4.421620377,1,0,3.165541077,78.3,30.6,93,24.74167,46,28.7376
Calahorra,EC6,34,feathers,unpigmented,no plants,10.63,7.6,16,3.2669,0,0,3.0924,5.529429088,4.556314564,1,1,3.421603927,76.8,30.04,131,47.48338,-98,-89.28552
Calahorra,EC6,34,feathers,unpigmented,no plants,17.2,28.2,16,3.2669,0,0,3.0924,5.529429088,4.556314564,1,1,3.421603927,63.5,29.4,11,-72.51662,-8,0.71448
Calahorra,EC61,35,no feathers,,no plants,16.29,23.7,26,4.2095,0,0,2.8202,3.091042453,4.936518769,0,0,3.482301767,65,28.24,133,53.30334,15,17.25002
Calahorra,EC61,35,no feathers,,no plants,13.52,18.1,26,4.2095,0,0,2.8202,3.091042453,4.936518769,0,0,3.482301767,67.7,29.08,100,20.30334,45,47.25002
Calahorra,EC61,35,no feathers,,no plants,15.29,17.3,26,4.2095,0,0,2.8202,3.091042453,4.936518769,0,0,3.482301767,68.7,28.63,59,-20.69666,38,40.25002
Calahorra,EC72,34,feathers,pigmented,plants,16.44,23.6,10,3.3804,1,0,2.8651,2.772588722,4.440924817,1,1,4.209515015,73.4,30.49,5,-78.51662,72,80.71448
Calahorra,EC72,34,feathers,pigmented,plants,16.06,24,10,3.3804,1,0,2.8651,2.772588722,4.440924817,1,1,4.209515015,46.4,25.21,64,-19.51662,-44,-35.28552
Calahorra,EC72,34,feathers,pigmented,plants,14.67,16.7,10,3.3804,1,0,2.8651,2.772588722,4.440924817,1,1,4.209515015,69.6,29.25,153,69.48338,-136,-127.28552
Calahorra,EC74,35,feathers,unpigmented,no plants,15.19,19.4,50,3.0795,1,0,3.5564,3.17805383,2.912222057,1,0,3.047664195,66.1,29.7,76,-3.69666,2,4.25002
Calahorra,EC74,35,feathers,unpigmented,no plants,18.62,29.5,50,3.0795,1,0,3.5564,3.17805383,2.912222057,1,0,3.047664195,66,29.72,1,-78.69666,92,94.25002
Calahorra,EC79,50,feathers,unpigmented,no plants,15.46,22.7,27,4.6355,0,0,3.389,1.791759469,4.421620377,1,0,4.421603927,72.3,29.28,4,-64.49542,6,-12.57197
Calahorra,EC8,35,no feathers,,plants,16.73,23.5,27,3.3804,0,0,3.3804,3.784189634,4.702439153,1,1,2.57054294,58.7,26.73,6,-73.69666,27,29.25002
Calahorra,EC8,35,no feathers,,plants,17.01,24.5,27,3.3804,0,0,3.3804,3.784189634,4.702439153,1,1,2.57054294,57.2,27.94,105,25.30334,-71,-68.74998
Calahorra,EC84,36,feathers,pigmented,no plants,15.64,19.9,23,3.9243,0,1,3.5564,3.496507561,2.478566496,0,0,2.033423755,76,30.33,91,14.73915,14,10.4201
Calahorra,EC84,36,feathers,pigmented,no plants,9.7,4.7,23,3.9243,0,1,3.5564,3.496507561,2.478566496,0,0,2.033423755,64.4,28.78,33,-43.26085,92,88.4201
Calahorra,EC84,36,feathers,pigmented,no plants,15.95,21,23,3.9243,0,1,3.5564,3.496507561,2.478566496,0,0,2.033423755,55.9,28.9,92,15.73915,14,10.4201
