Natural nests;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Date of sampling (1=1 April);Year;Nest;Contamination;Feather treatment;Plant treatment;Sampling;Presence Enterobacteriaceae (1st);Presence Staphylococcus (1st);Presence Enterococcus (1st);log mesophilic bacterial density (1st);log number of feathers (1st);log pigmented feathers (1st);log unpigmented feathers (1st);Sampling;Presence Enterobacteriaceae (2nd);Presence Staphylococcus (2nd);Presence Enterococcus (2nd);log mesophilic bacterial density (2nd);log number of feathers (2nd);log pigmented feathers (2nd);log unpigmented feathers (2nd)
39;2012;79;No Cont;Pigmented;Plants;1;0;0;0;0.386801908;3.496507561;3.044522438;2.564949357;2;0;0;0;0.570576372;3.761200116;3.044522438;3.135494216
21;2012;8;No Cont;Pigmented;No plants;1;0;0;0;1.235412919;2.197224577;1.386294361;1.791759469;2;0;0;0;1.292078619;2.890371758;1.791759469;2.564949357
21;2012;90;No Cont;Pigmented;Plants;1;0;0;0;1.252351047;2.772588722;2.079441542;2.197224577;2;0;0;0;0.98377053;3.258096538;2.833213344;2.302585093
37;2012;99;No Cont;Pigmented;No plants;1;0;0;0;-0.525155821;1.609437912;0.693147181;1.386294361;2;0;0;0;0.688263867;2.397895273;2.197224577;1.098612289
20;2013;103;Cont;UnPigmented;Plants;1;0;0;0;1.034353972;2.995732274;2.772588722;1.609437912;2;0;0;0;0.892431312;3.33220451;0;3.33220451
44;2013;104;No Cont;UnPigmented;No plants;1;0;0;0;1.388223261;2.197224577;0.693147181;2.079441542;2;0;0;1;1.676021326;2.995732274;0;2.995732274
17;2013;111;Cont;UnPigmented;Plants;1;1;0;0;0.950564659;2.708050201;2.079441542;2.079441542;2;0;0;0;1.479031145;4.33073334;2.833213344;4.094344562
18;2013;114;No Cont;UnPigmented;Plants;1;0;0;1;1.11737396;1.386294361;1.098612289;0.693147181;2;0;0;0;0.809660083;2.995732274;1.609437912;2.772588722
29;2013;115;No Cont;UnPigmented;Plants;1;0;0;0;0.990818258;1.945910149;0.693147181;1.791759469;2;0;0;0;1.236882412;2.708050201;0;2.708050201
19;2013;14;Cont;UnPigmented;No plants;1;1;0;0;1.530377555;2.564949357;2.079441542;1.791759469;2;0;0;0;1.049717299;3.33220451;0.693147181;3.295836866
19;2013;16;Cont;UnPigmented;Plants;1;0;0;0;1.062130276;2.48490665;2.079441542;1.609437912;2;0;0;0;0.757822854;2.944438979;1.098612289;2.833213344
20;2013;18;Cont;UnPigmented;Plants;1;0;0;1;1.216508161;3.496507561;2.564949357;3.044522438;2;0;0;0;1.624846857;3.33220451;0;3.33220451
34;2013;19;Cont;UnPigmented;Plants;1;0;0;0;1.685752862;2.708050201;1.945910149;2.197224577;2;0;0;0;1.942820836;2.63905733;1.098612289;2.48490665
19;2013;20;Cont;UnPigmented;No plants;1;0;0;0;1.098572446;3.17805383;2.995732274;1.609437912;2;0;0;0;1.311180539;3.63758616;0.693147181;3.610917913
36;2013;28;Cont;UnPigmented;No plants;1;0;0;0;1.58601402;2.833213344;0.693147181;2.772588722;2;0;0;0;1.286766482;2.995732274;0.693147181;2.944438979
32;2013;33;No Cont;UnPigmented;Plants;1;0;0;0;1.688172881;2.197224577;0.693147181;2.079441542;2;0;0;0;1.731041013;2.944438979;0.693147181;2.890371758
17;2013;43;No Cont;UnPigmented;No plants;1;0;0;0;0.879120754;2.63905733;2.302585093;1.609437912;2;0;0;0;2.611039701;2.397895273;1.945910149;1.609437912
19;2013;51;Cont;UnPigmented;No plants;1;0;0;0;0.564629488;1.791759469;1.098612289;1.386294361;2;0;0;1;1.311871842;3.465735903;1.609437912;3.33220451
20;2013;55;Cont;UnPigmented;No plants;1;0;0;0;1.352823842;1.945910149;0.693147181;1.791759469;2;0;0;0;0.696415882;3.610917913;0;3.610917913
21;2013;66;Cont;UnPigmented;Plants;1;0;0;1;0.89857231;1.945910149;1.609437912;1.098612289;2;0;0;1;1.376089319;2.708050201;0.693147181;2.63905733
18;2013;72;Cont;UnPigmented;Plants;1;0;0;0;0.843647084;0.693147181;0.693147181;0;2;0;0;0;1.297977353;3.258096538;0;3.258096538
19;2013;79;Cont;UnPigmented;No plants;1;0;0;1;1.61117816;1.386294361;0;1.386294361;2;0;0;0;0.938357764;3.63758616;0;3.63758616
19;2013;96;No Cont;UnPigmented;No plants;1;0;0;0;0.454622261;1.386294361;0.693147181;1.098612289;2;0;0;0;0.881440042;3.713572067;0;3.713572067
20;2013;98;Cont;UnPigmented;Plants;1;0;0;0;1.542793486;1.609437912;1.609437912;0;2;0;0;0;1.281749691;2.944438979;1.945910149;2.564949357
45;2013;10;No Cont;No feathers;Plants;1;0;0;0;1.930254107;1.098612289;0;1.098612289;2;0;0;0;1.598251731;2.302585093;0.693147181;2.197224577
19;2013;15;Cont;No feathers;No plants;1;0;0;0;1.071772655;2.302585093;1.386294361;1.945910149;2;0;0;0;0.150618274;3.828641396;0;3.828641396
19;2013;17;Cont;No feathers;Plants;1;0;0;0;1.178476487;3.17805383;2.772588722;2.197224577;2;0;0;0;0.876611203;3.33220451;0;3.33220451
26;2013;32;No Cont;No feathers;No plants;1;0;0;0;1.212831853;3.688879454;3.33220451;2.564949357;2;0;0;0;1.43469606;2.564949357;0;2.564949357
17;2013;36;No Cont;No feathers;Plants;1;1;0;0;0.635366653;2.079441542;1.386294361;1.609437912;2;0;0;0;0.971905209;3.465735903;1.098612289;3.401197382
18;2013;38;Cont;No feathers;No plants;1;0;0;0;-0.180651136;1.609437912;0.693147181;1.386294361;2;0;0;0;0.580881371;3.218875825;1.386294361;3.091042453
17;2013;42;Cont;No feathers;No plants;1;1;0;0;2.14865293;2.708050201;2.564949357;1.098612289;2;0;0;0;1.288011155;2.890371758;2.197224577;2.302585093
28;2013;47;No Cont;No feathers;No plants;1;0;0;0;1.204716208;2.48490665;0;0;2;0;0;1;1.714458918;2.944438979;2.197224577;2.397895273
17;2013;48;No Cont;No feathers;No plants;1;0;0;0;1.35084433;1.386294361;0;1.386294361;2;0;0;0;1.289220822;4.204692619;2.302585093;4.060443011
34;2013;49;No Cont;No feathers;Plants;1;0;0;0;1.668498569;2.944438979;1.609437912;2.708050201;2;1;0;0;1.112473906;3.044522438;0;3.044522438
19;2013;50;Cont;No feathers;No plants;1;0;0;0;1.127744186;1.791759469;0.693147181;1.609437912;2;0;0;0;1.373343884;2.890371758;0;2.890371758
31;2013;64;Cont;No feathers;Plants;1;0;0;0;2.107452768;1.386294361;0;1.386294361;2;0;1;1;1.853562647;2.772588722;1.098612289;2.63905733
19;2013;69;Cont;No feathers;Plants;1;0;0;0;1.119475105;0;0;0;2;0;0;0;1.028509796;2.708050201;1.945910149;2.197224577
29;2013;70;Cont;No feathers;No plants;1;0;0;0;1.485669324;1.609437912;0.693147181;1.386294361;2;0;0;1;1.583915767;2.397895273;2.197224577;1.098612289
21;2013;74;Cont;No feathers;No plants;1;0;0;0;1.646823282;1.791759469;0.693147181;1.609437912;2;0;0;0;1.526541294;2.564949357;0;2.564949357
21;2013;80;No Cont;No feathers;Plants;1;0;0;1;1.352913386;1.945910149;1.386294361;1.386294361;2;0;0;0;1.813225865;3.433987204;1.791759469;3.258096538
23;2013;88;No Cont;No feathers;Plants;1;0;0;0;2.099466487;2.397895273;1.098612289;2.197224577;2;0;0;1;1.902683134;2.995732274;0;2.995732274
